,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4
TGME49_203358,869,1258,666,994,869,1172,835,850
TGME49_203362,492,620,367,504,492,642,423,418
TGME49_203370,1310,1679,959,1162,1310,1709,1141,974
TGME49_203375,7,9,1,9,7,9,4,6
TGME49_203380,2491,2953,1554,2047,2491,2662,1837,1812
TGME49_203390,2176,3184,1916,2559,2176,2787,2142,1973
TGME49_203400,1737,2122,1208,1677,1737,1911,1457,1437
TGME49_203420,656,718,484,655,656,692,577,560
TGME49_203430,135,178,100,142,135,182,106,115
TGME49_203440,157,169,109,121,157,147,133,121
TGME49_203450,1141,1375,789,1045,1141,1283,932,920
TGME49_203460,86,119,69,88,86,99,98,63
TGME49_203470,0,0,0,0,0,0,2,0
TGME49_203480,925,1035,594,806,925,978,669,599
TGME49_203490,818,1052,506,797,818,1018,697,647
TGME49_203500,0,0,0,0,0,1,2,1
TGME49_203505,4,5,1,3,4,4,0,3
TGME49_203510,1560,2036,1093,1526,1560,1914,1390,1276
TGME49_203520,951,986,574,906,951,954,760,798
TGME49_203540,6777,7595,4971,6747,6777,7392,6155,5712
TGME49_203560,1422,1994,999,1459,1422,1939,1238,1337
TGME49_203570,13,14,7,6,13,5,11,15
TGME49_203580,2,1,1,1,2,1,0,1
TGME49_203590,9,17,2,3,9,20,2,7
TGME49_203600,6934,7560,4990,6395,6934,6454,5602,5673
TGME49_203610,1015,1249,743,976,1015,1290,800,763
TGME49_203620,734,751,476,583,734,730,578,540
TGME49_203630,9255,11389,5333,7595,9255,10379,6140,6640
TGME49_203665,651,752,370,596,651,619,580,522
TGME49_203682,8,3,1,8,8,4,5,4
TGME49_203685,3,1,0,4,3,6,1,3
TGME49_203688,4,2,1,4,4,4,1,1
TGME49_203690,2587,2948,1752,2540,2587,2624,2256,2240
TGME49_203700,706,797,470,555,706,657,519,485
TGME49_203705,8,6,6,7,8,5,15,12
TGME49_203710,2940,2684,1897,2619,2940,2046,2348,2267
TGME49_203720,292,451,188,238,292,370,236,226
TGME49_203730,1096,1379,743,1081,1096,1340,943,942
TGME49_203735,80,67,42,41,80,63,64,51
TGME49_203740,783,1113,713,768,783,977,819,733
TGME49_203750,727,1061,568,776,727,927,652,613
TGME49_203760,1098,1449,754,1031,1098,1363,885,891
TGME49_203770,4,7,4,2,4,6,4,7
TGME49_203780,1534,1826,1154,1560,1534,1659,1465,1351
TGME49_203790,3740,3248,2382,2880,3740,3019,2659,2604
TGME49_203800,5,21,10,15,5,24,11,10
TGME49_203810,2057,2270,1328,2033,2057,2106,1606,1694
TGME49_203815,61,140,44,65,61,122,39,49
TGME49_203820,3576,4461,2818,4353,3576,4107,3352,3801
TGME49_203830,650,803,455,669,650,665,560,565
TGME49_203840,879,1013,583,764,879,938,732,731
TGME49_203860,402,549,414,467,402,514,448,377
TGME49_203870,705,891,500,677,705,862,597,573
TGME49_203875,223,237,148,177,223,198,179,173
TGME49_203880,3188,3369,2302,3116,3188,3253,2971,2807
TGME49_203890,26,36,13,20,26,46,8,11
TGME49_203900,4,3,2,1,4,1,1,1
TGME49_203910,2870,2739,1872,2567,2870,2344,2401,2330
TGME49_203930,3330,2858,2229,3190,3330,2688,2453,2893
TGME49_203940,642,799,452,573,642,671,528,533
TGME49_203950,1626,1734,1103,1556,1626,1769,1359,1308
TGME49_203960,807,958,555,744,807,872,734,643
TGME49_203970,636,726,464,580,636,764,511,513
TGME49_203980,5252,6083,3592,5329,5252,5848,4495,4244
TGME49_203985,9,18,6,19,9,22,9,19
TGME49_203990,3029,3204,2193,2947,3029,2901,2523,2624
TGME49_204000,16,35,1,17,16,43,0,11
TGME49_204010,25,70,5,28,25,52,10,20
TGME49_204020,19591,23061,11307,16343,19591,21162,12804,14426
TGME49_204040,1184,1475,998,1134,1184,1355,1141,981
TGME49_204045,82,108,47,81,82,125,58,62
TGME49_204050,35144,58010,26916,39480,35144,58819,29296,32381
TGME49_204055,235,361,206,189,235,331,184,167
TGME49_204060,1002,1242,684,966,1002,1144,796,831
TGME49_204070,2641,3377,1830,2723,2641,3343,2190,2576
TGME49_204080,2460,2618,1660,2363,2460,2416,2118,2037
TGME49_204090,43,46,24,35,43,39,33,35
TGME49_204100,1980,2506,1319,2127,1980,2329,1672,1694
TGME49_204110,366,626,258,429,366,616,326,364
TGME49_204120,533,748,461,571,533,782,481,489
TGME49_204130,23400,29038,15629,24734,23400,28810,18567,21034
TGME49_204140,436,473,242,423,436,421,334,379
TGME49_204150,395,334,205,302,395,286,252,278
TGME49_204160,2050,2271,1291,2191,2050,2168,1578,1608
TGME49_204270,915,1121,639,1038,915,957,693,891
TGME49_204280,2345,2725,1482,2423,2345,2432,1849,2025
TGME49_204290,3,3,2,2,3,0,3,0
TGME49_204300,3,2,4,1,3,2,1,1
TGME49_204310,7453,8527,4767,6689,7453,7920,6140,5748
TGME49_204315,523,405,291,362,523,387,382,302
TGME49_204320,589,909,476,686,589,823,603,470
TGME49_204325,17,19,12,10,17,25,3,8
TGME49_204330,11,14,5,7,11,27,7,7
TGME49_204340,9232,12874,6844,9600,9232,12314,8114,8058
TGME49_204350,1031,981,573,913,1031,865,661,747
TGME49_204360,711,1013,597,661,711,992,746,618
TGME49_204370,2226,2591,1396,1835,2226,2321,1623,1614
TGME49_204380,1483,1762,1184,1584,1483,1558,1316,1382
TGME49_204390,293,321,158,241,293,311,214,234
TGME49_204395,411,483,254,309,411,431,330,269
TGME49_204400,4783,6146,3293,4563,4783,5679,3871,3722
TGME49_204410,1448,1770,1028,1462,1448,1612,1187,1202
TGME49_204420,202,405,327,290,202,374,312,226
TGME49_204440,2183,2503,1719,2323,2183,2298,2037,2013
TGME49_204460,7,12,8,10,7,13,5,1
TGME49_204468,0,1,1,4,0,2,4,1
TGME49_204472,0,1,0,0,0,0,0,1
