Geneid,RH_1,RH_2,RH_3,RH_4,Mock_1,Mock_2,Mock_3,Mock_4
ZNF114,0,0,0,0,0,0,0,2
ZNF114-AS1,0,0,0,3,0,1,0,11
ZNF117,31,19,29,12,164,35,97,51
ZNF12,146,103,123,115,858,527,744,615
ZNF121,46,31,44,39,87,31,120,55
ZNF124,36,42,40,23,29,19,39,20
ZNF131,160,185,179,126,342,258,293,276
ZNF132,2,7,13,1,10,4,17,3
ZNF132-DT,0,0,0,0,1,1,2,1
ZNF133,6,12,23,10,24,13,24,16
ZNF133-AS1,2,2,0,2,0,0,7,5
ZNF134,34,43,48,44,154,190,261,321
ZNF135,1,1,3,2,4,1,15,5
ZNF136,90,71,107,45,397,228,310,318
ZNF137P,0,0,0,0,0,0,0,0
ZNF138,5,10,4,5,18,10,26,11
ZNF14,29,52,43,34,149,138,165,236
ZNF140,23,25,26,19,33,27,32,26
ZNF141,54,29,36,34,175,95,205,84
ZNF142,141,200,169,113,310,302,368,221
ZNF143,589,801,541,474,1111,1108,785,897
ZNF146,64,51,85,51,228,140,301,172
ZNF148,374,486,321,246,2119,1392,1502,1440
ZNF154,8,6,37,18,33,18,83,34
ZNF155,30,27,28,28,81,46,57,85
ZNF157,1,2,4,4,2,2,5,1
ZNF16,19,24,17,9,8,10,20,6
ZNF160,176,186,165,175,621,385,605,516
ZNF165,27,41,41,53,31,27,55,22
ZNF169,12,13,20,11,71,49,68,61
ZNF17,5,10,17,21,27,30,43,59
ZNF174,14,51,32,23,107,141,125,148
ZNF175,9,5,22,7,49,6,71,17
ZNF177,0,0,0,0,0,0,0,0
ZNF18,129,161,112,90,723,823,784,722
ZNF180,56,82,55,68,168,127,141,160
ZNF181,10,7,15,9,30,10,57,27
ZNF182,99,79,61,48,565,402,421,456
ZNF184,765,940,512,475,50,43,78,41
ZNF185,0,0,0,0,4,0,0,0
ZNF185_1,0,0,0,0,1,0,0,0
ZNF189,127,84,120,86,364,253,315,269
ZNF19,0,0,0,0,4,1,12,3
ZNF195,13,10,19,3,60,38,83,38
ZNF197,0,0,0,0,0,0,0,0
ZNF197_1,0,0,0,0,0,0,0,0
ZNF197-AS1,0,0,0,0,0,0,0,0
ZNF197-AS1_1,0,0,0,0,0,0,0,0
ZNF2,4,9,17,8,26,25,66,38
ZNF20,0,0,0,0,0,0,0,0
ZNF200,462,632,399,294,1610,1296,946,1072
ZNF202,10,5,39,8,47,19,73,17
ZNF204P,21,36,5,14,19,14,31,5
ZNF205,1,1,0,1,7,3,3,1
ZNF205-AS1,0,0,1,1,2,0,2,2
ZNF207,965,885,971,590,3374,1740,2191,2077
ZNF208,3,7,7,4,10,3,3,3
ZNF211,61,163,148,110,272,341,415,455
ZNF212,48,65,51,31,228,251,280,281
ZNF213,118,288,172,94,411,585,434,318
ZNF213-AS1,4,2,5,6,11,16,18,15
ZNF214,0,0,0,0,0,0,0,0
ZNF215,0,0,0,0,0,0,0,0
ZNF217,1144,1661,975,783,8548,8188,8879,8542
ZNF217-AS1,15,22,25,12,89,89,262,118
ZNF219,28,42,71,22,55,75,109,49
ZNF22,12,10,25,6,43,20,100,19
ZNF221,4,4,5,4,5,4,18,7
ZNF222,21,17,17,20,36,23,40,58
ZNF222-DT,0,0,0,0,0,0,1,0
ZNF223,9,3,15,6,30,12,43,30
ZNF224,54,31,30,33,177,106,130,212
ZNF225,14,9,12,9,59,22,64,42
ZNF225-AS1,1,0,1,1,4,1,4,2
ZNF226,19,22,31,20,176,93,160,173
ZNF227,13,21,36,17,120,52,120,137
ZNF229,1,1,2,1,1,4,3,3
ZNF22-AS1,0,2,1,0,4,2,5,0
ZNF23,5,8,10,5,27,12,62,19
ZNF230,70,48,62,56,355,184,207,345
ZNF230-DT,0,0,1,0,1,0,0,0
ZNF232,10,7,15,3,13,9,39,14
ZNF232-AS1,0,0,0,0,2,1,3,0
ZNF233,0,0,0,1,3,0,2,1
ZNF234,7,4,25,5,66,19,87,44
ZNF235,13,4,19,9,37,15,46,26
ZNF236,152,193,143,113,179,96,178,119
ZNF236-DT,6,8,3,5,9,17,13,2
ZNF239,1,0,6,0,9,3,11,3
ZNF24,396,408,601,256,3347,2375,2455,2465
