Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,LPS_1,LPS_2,LPS_3,LPS_4
PYY2,1,0,0,0,1,1,1,0
PZP,0,0,0,0,0,0,0,3
QARS1,139,90,131,52,333,222,803,236
QDPR,8,2,5,1,4,10,44,8
QKI,9131,4423,4059,3092,30996,11244,23103,12352
QKILA,0,0,0,0,0,2,0,0
QNG1,23,30,13,4,25,41,95,17
QPCT,1969,1953,678,679,6077,5451,4715,3415
QPCTL,58,48,55,45,43,33,78,29
QPRT,0,10,7,3,23,57,74,35
QRFP,0,0,0,0,0,1,3,1
QRFPR,0,0,0,0,0,0,0,0
QRICH1,493,384,345,255,767,620,1557,790
QRICH2,39,32,39,24,254,190,383,141
QRSL1,19,6,21,6,33,7,93,11
QSER1,49,45,40,35,64,22,225,37
QSOX1,13502,21886,5748,5769,20979,18884,11670,8458
QSOX2,193,143,170,128,158,101,348,123
QTRT1,13,9,25,3,35,8,120,16
QTRT2,170,151,105,81,234,237,454,240
R3HCC1,41,56,43,22,57,96,172,73
R3HCC1L,379,364,260,230,581,484,937,634
R3HDM1,20,15,31,8,52,31,186,45
R3HDM2,364,331,260,187,1073,1057,1743,952
R3HDM2-DT,0,0,0,0,0,5,0,0
R3HDM4,4593,6146,2761,2618,18638,27272,26131,18511
R3HDML,0,0,0,0,0,0,0,0
R3HDML-AS1,0,0,0,0,0,0,0,0
RAB10,2912,2725,1708,1555,4789,8498,8056,4837
RAB11A,1089,918,527,463,3959,3745,4139,2383
RAB11B,595,575,456,285,927,1108,1460,953
RAB11B-AS1,10,7,3,2,14,14,20,7
RAB11FIP1,818,1451,517,510,1166,4839,5485,2812
RAB11FIP2,96,89,48,42,165,151,315,182
RAB11FIP3,1,1,4,0,3,0,8,4
RAB11FIP3_1,0,0,2,1,0,0,1,1
RAB11FIP4,728,1398,460,432,1370,6796,6156,3453
RAB11FIP4_1,0,0,0,0,0,0,0,0
RAB11FIP5,34,41,34,15,19,10,61,9
RAB12,91,56,46,43,211,114,247,191
RAB13,60,50,26,19,84,119,89,43
RAB14,668,593,317,303,1466,1827,2350,1363
RAB15,21,16,14,13,63,46,109,45
RAB17,0,1,0,1,0,1,0,0
RAB17-DT,1,0,0,0,0,0,0,0
RAB18,301,253,121,123,481,685,726,550
RAB19,4,6,3,6,5,3,18,2
RAB1A,2526,1985,1418,1172,4179,3394,4057,2326
RAB1B,1293,1413,863,654,2881,2987,3727,2201
RAB20,1315,989,892,692,758,1038,696,544
RAB21,9387,6745,4416,4104,24335,12346,17565,11080
RAB22A,816,678,462,382,1629,1602,2050,1308
RAB23,2,0,0,0,2,0,3,1
RAB24,1917,2681,1496,1203,6006,11077,11615,8087
RAB25,0,0,0,0,1,1,1,1
RAB26,0,0,0,0,0,0,3,0
RAB27A,1587,2136,919,790,1491,2694,2081,1373
RAB27B,7,5,4,2,26,4,36,2
RAB28,78,100,55,27,162,100,188,94
RAB29,301,172,239,111,478,318,928,266
RAB2A,931,856,409,420,1896,1901,2228,1624
RAB2B,68,32,61,38,205,92,273,121
RAB30,52,5,50,20,64,16,223,60
RAB30-DT,7,2,2,1,24,12,16,5
RAB31,1609,3301,895,1129,4263,8164,4798,4185
RAB32,1160,1112,587,530,500,1497,909,668
RAB33A,118,157,66,62,84,60,124,47
RAB33B,391,360,215,174,171,175,216,110
RAB33B-AS1,8,7,3,1,0,2,4,6
RAB34,22,13,10,9,19,16,28,11
RAB35,1335,1707,915,808,1929,3464,3693,2250
RAB35-AS1,3,11,18,8,13,7,30,7
RAB36,3,4,2,0,11,40,45,17
RAB37,36,51,31,20,104,162,276,130
RAB38,1,2,0,2,0,2,4,1
RAB38_1,0,0,0,0,0,0,0,0
RAB39A,8,3,1,1,6,5,3,0
RAB39B,42,53,26,22,176,146,170,85
RAB3A,10,19,5,7,3,6,5,2
RAB3B,2,0,2,0,1,0,1,0
RAB3C,7,3,1,2,56,35,45,29
RAB3D,359,644,146,131,1726,4320,4165,2542
RAB3GAP1,520,331,296,228,1403,733,1645,931
RAB3GAP2,366,312,239,180,851,609,1041,539
RAB3IL1,33,30,9,15,16,69,16,11
RAB3IP,401,254,138,143,484,152,313,211
RAB40A,0,0,0,0,0,0,0,0
RAB40AL,0,0,0,0,0,0,1,0
RAB40B,3,1,3,1,1,4,8,2
RAB40C,130,242,108,105,152,150,217,101
RAB41,0,0,0,1,0,0,5,1
RAB42,3,6,3,3,18,18,25,23
RAB43,21,29,28,14,55,105,103,74
RAB44,475,325,325,269,1320,928,2239,1391
RAB4A,43,47,32,27,64,51,132,64
RAB4A-AS1,0,1,0,0,2,0,1,0
RAB4B,0,0,0,0,0,0,0,0
RAB4B-EGLN2,0,0,0,0,0,0,0,0
RAB5A,3029,2524,1445,1450,7324,5738,6988,5338
RAB5B,2736,2643,1809,1470,5088,5440,8773,4687
RAB5C,4020,4117,2371,1826,14493,14390,17841,10177
RAB5C-AS1,4,1,5,4,23,30,43,22
RAB5IF,261,327,115,162,618,720,488,388
RAB6A,309,372,212,201,463,605,935,392
RAB6B,0,0,0,1,3,2,7,1
RAB6C,0,0,0,0,0,0,0,0
RAB6C_1,0,0,0,0,0,0,0,0
RAB6C-AS1,0,0,0,0,0,0,0,0
RAB6C-AS1_1,0,0,0,0,0,0,0,0
RAB6D,2,5,3,3,2,7,10,2
RAB7A,4650,4588,3497,2787,7858,11177,10829,7682
RAB7B,0,1,0,0,2,0,7,2
RAB8A,1390,1539,752,707,1724,1871,2670,1762
RAB8B,5216,2547,2095,1887,16576,8258,11253,7157
