Geneid,Mock_1,Mock_2,Mock_3,Mock_4,LPS_1,LPS_2,LPS_3,LPS_4
TMEM156,56,24,80,31,43,35,125,30
TMEM158,8,33,12,11,8,15,9,9
TMEM160,13,12,20,16,14,12,31,16
TMEM161A,21,13,35,12,30,15,61,17
TMEM161B,86,58,103,61,79,49,160,44
TMEM161B-DT,13,6,11,5,9,5,25,7
TMEM163,4,5,3,4,4,0,8,0
TMEM164,1310,1918,2017,2300,653,1336,1564,1091
TMEM165,609,491,401,497,2948,1612,1851,1730
TMEM167A,1268,919,860,1024,1055,802,1100,718
TMEM167B,2387,1960,1998,2275,2787,2733,4089,2821
TMEM167B-DT,0,0,0,1,0,3,0,1
TMEM168,161,57,151,88,303,145,358,204
TMEM169,64,68,60,65,5,32,33,13
TMEM17,2,1,3,2,0,1,0,1
TMEM170A,551,490,417,498,1148,566,771,556
TMEM170B,721,573,469,486,165,118,240,124
TMEM171,0,1,1,1,1,2,2,1
TMEM174,0,0,0,0,0,0,0,0
TMEM175,457,575,460,417,285,476,543,333
TMEM176A,38,11,4,0,75,15,23,6
TMEM176B,82,24,9,3,102,14,17,7
TMEM177,8,5,24,5,12,5,50,1
TMEM178A,1,0,3,0,1,0,0,0
TMEM178B,0,0,8,0,0,1,9,2
TMEM179,0,0,0,0,0,0,0,0
TMEM179_1,0,0,0,0,0,0,0,0
TMEM179B,313,531,295,332,100,194,235,96
TMEM18,65,45,116,41,62,55,210,51
TMEM181,666,224,583,355,407,192,741,315
TMEM182,1,0,7,0,2,1,10,1
TMEM183A,518,550,434,484,182,252,424,209
TMEM184A,12,6,13,7,6,20,13,8
TMEM184B,4316,4977,5343,3918,4464,5508,6891,3372
TMEM184B-AS1,8,2,10,5,15,17,19,10
TMEM184C,394,338,383,302,320,315,490,255
TMEM184C-DT,1,0,0,0,1,0,2,0
TMEM185A,88,78,64,76,29,62,59,31
TMEM185B,330,285,386,236,1662,1011,2629,1608
TMEM186,1,0,0,0,0,0,0,0
TMEM187,22,60,69,61,14,116,147,79
TMEM18-DT,0,0,1,0,0,0,2,0
TMEM19,38,8,60,25,54,26,124,26
TMEM190,3,0,0,0,0,0,0,0
TMEM191A,5,5,13,7,6,5,12,1
TMEM191B,0,12,12,0,1,4,9,0
TMEM191C,2,4,0,0,0,1,0,0
TMEM192,45,26,62,35,36,60,90,33
TMEM196,0,0,0,0,0,0,0,0
TMEM198,0,0,3,0,0,1,0,0
TMEM198B,31,17,43,16,13,13,68,10
TMEM199,468,445,452,443,431,667,760,397
TMEM200A,0,1,1,1,0,1,7,0
TMEM200B,0,0,1,0,0,1,3,0
TMEM200C,0,0,1,0,1,0,0,0
TMEM201,5,1,17,3,14,4,56,8
TMEM202,0,0,0,0,0,0,0,0
TMEM202-AS1,1,4,4,1,4,2,6,5
TMEM203,80,150,130,105,70,135,211,88
TMEM204,66,49,192,17,57,74,285,18
TMEM205,520,436,457,256,1498,1416,1752,910
TMEM207,0,0,0,0,0,0,0,0
TMEM208,351,538,290,356,597,653,797,506
TMEM209,49,31,63,21,44,33,115,32
TMEM210,0,0,0,0,0,0,0,0
TMEM212,0,0,0,0,0,0,0,0
TMEM212-AS1,1,0,1,0,1,0,0,0
TMEM213,1,0,1,0,0,0,0,1
TMEM214,306,213,341,212,437,295,624,248
TMEM215,0,0,0,0,0,0,0,0
TMEM216,102,138,88,69,45,159,143,83
TMEM217,0,0,1,0,2,0,3,0
TMEM217B,0,0,0,0,0,0,0,0
TMEM218,69,61,81,32,34,42,138,30
TMEM219,363,392,316,331,174,217,392,153
TMEM220,36,17,58,14,37,20,95,17
TMEM220-AS1,1,0,0,2,0,1,3,0
TMEM221,0,0,1,0,1,1,2,3
TMEM222,682,1119,823,658,487,1004,967,495
TMEM223,22,26,42,24,17,17,65,15
TMEM225,0,0,0,0,0,0,0,0
TMEM225B,2,2,0,0,1,2,4,0
TMEM229A,0,0,0,0,0,0,0,0
TMEM229B,70,44,107,55,83,41,286,58
TMEM230,465,518,471,380,257,363,622,194
TMEM231,10,7,16,15,244,140,295,246
TMEM232,2,0,0,1,2,0,6,0
TMEM233,0,0,0,0,0,0,0,0
TMEM234,436,501,359,378,365,456,516,349
TMEM235,1,0,0,0,0,0,0,0
TMEM236,10,13,12,10,5,5,7,5
TMEM237,3,6,11,4,8,3,14,1
TMEM238,0,3,1,1,4,1,8,3
TMEM238L,0,0,0,0,0,0,0,0
TMEM239,0,0,0,0,0,0,0,0
TMEM240,5,13,12,6,5,22,5,5
TMEM241,5,10,3,6,2,6,10,1
TMEM242,33,17,29,12,28,51,62,27
TMEM242-DT,0,0,0,0,0,0,1,3
TMEM243,165,137,128,107,84,63,145,47
TMEM244,0,1,0,0,0,0,0,0
TMEM245,189,66,313,101,179,73,503,92
TMEM246-AS1,1,0,0,0,0,0,0,0
TMEM247,0,0,0,0,0,0,0,0
TMEM248,1803,1998,1790,1378,1625,2366,2959,1517
TMEM249,0,0,0,0,0,0,0,0
TMEM249_1,0,0,0,0,0,0,0,0
TMEM25,14,8,32,6,14,10,48,2
TMEM250,247,548,353,241,71,218,311,86
TMEM252,28,22,33,34,11,22,28,22
TMEM252-DT,11,13,5,6,4,7,9,9
TMEM253,4,19,9,2,0,7,7,4
TMEM254,16,12,26,8,20,9,54,15
TMEM254-AS1,2,2,5,3,2,1,9,4
TMEM255A,6,0,1,1,0,5,8,2
TMEM255B,40,23,25,10,14,12,21,10
TMEM256,0,0,0,0,0,0,0,0
TMEM256_1,0,0,0,0,0,0,0,0
TMEM256-PLSCR3,0,0,0,0,0,0,0,0
TMEM256-PLSCR3_1,0,0,0,0,0,0,0,0
TMEM258,135,168,167,135,240,210,337,155
TMEM259,3799,4789,4329,2987,3320,4346,6106,2700
TMEM26,0,0,0,0,0,0,0,0
TMEM260,227,226,215,195,170,211,289,156
TMEM262,0,0,0,0,1,0,1,4
TMEM263,41,16,94,17,46,15,130,32
TMEM263-DT,0,1,3,0,0,1,5,0
TMEM265,127,263,195,162,113,209,285,130
TMEM266,0,0,2,0,2,0,2,1
TMEM267,16,7,34,23,13,17,55,19
TMEM268,405,170,296,335,664,196,570,376
TMEM269,6,3,3,6,1,3,10,1
TMEM269-DT,1,0,0,0,0,0,0,1
TMEM26-AS1,0,0,0,0,0,0,0,0
TMEM270,0,0,0,1,0,0,0,0
TMEM271,0,0,0,0,0,1,0,0
TMEM272,53,13,25,29,33,41,68,23
TMEM273,1688,2452,1295,3908,541,3984,1384,2308
TMEM274P,1,0,1,1,0,2,1,0
TMEM275,0,0,0,0,0,0,0,1
TMEM276,2,12,7,5,11,37,33,9
TMEM276-ZFTRAF1,0,0,0,0,0,1,0,0
TMEM30A,3516,3308,2866,3019,2264,1882,2905,1755
TMEM30A-DT,0,1,3,3,0,2,4,2
TMEM30B,3,2,5,0,9,4,23,2
TMEM30CP,0,0,0,0,0,0,0,0
TMEM31,0,0,0,0,0,0,0,0
TMEM33,977,1056,817,982,731,744,972,603
TMEM35A,0,0,0,0,0,0,0,0
TMEM35B,60,57,86,49,71,32,117,37
TMEM37,0,0,1,1,0,0,0,0
TMEM38A,10,12,9,9,2,4,12,5
TMEM38B,22,22,34,22,36,44,56,32
TMEM39A,262,214,303,231,783,459,687,334
TMEM39B,111,114,149,112,108,94,223,103
TMEM40,12,8,8,3,5,10,5,5
TMEM41A,24,26,54,14,24,10,81,10
TMEM41B,1483,1358,1007,940,2690,1809,2173,1343
TMEM42,0,1,0,0,0,0,0,0
TMEM42_1,0,0,0,0,0,0,0,0
TMEM43,4387,4987,3352,3871,1952,4021,3648,2702
TMEM44,23,34,14,18,28,57,37,29
TMEM44-AS1,47,67,22,44,68,116,58,76
TMEM44-AS2,6,6,9,6,8,14,18,6
TMEM45A,0,0,0,0,1,0,0,0
TMEM45B,585,801,625,412,213,346,631,149
TMEM47,0,0,0,0,0,0,0,0
TMEM50A,4015,5093,3584,3400,1818,3871,3611,2126
TMEM50B,10,0,0,0,0,1,1,0
TMEM50B_1,4,2,0,0,3,3,1,1
TMEM51,34,22,16,4,5,6,8,4
TMEM51-AS1,2,0,0,0,0,0,0,0
TMEM51-AS2,0,0,0,0,0,0,0,0
TMEM52,0,0,0,0,2,0,0,0
TMEM52B,33,17,25,14,38,70,72,32
