Geneid,RH_1,RH_2,RH_3,RH_4,LPS_1,LPS_2,LPS_3,LPS_4
ACTR3B,12,15,7,3,24,14,31,8
ACTR3BP2,0,0,0,0,0,0,0,0
ACTR3BP5,0,0,0,0,0,0,0,0
ACTR3BP5_1,0,0,0,0,0,0,0,0
ACTR3C,2,4,6,2,49,10,50,24
ACTR5,18,31,30,15,56,23,134,31
ACTR6,23,10,17,8,71,38,148,60
ACTR8,156,178,156,144,162,173,359,118
ACTRT1,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0
ACTRT3,1,0,2,1,0,0,3,0
ACVR1,59,70,27,19,61,53,119,22
ACVR1B,167,264,234,159,987,1186,1567,844
ACVR1C,6,1,4,0,16,5,19,2
ACVR2A,10,4,14,1,60,29,74,15
ACVR2B,12,8,26,3,35,12,71,13
ACVR2B-AS1,0,0,1,0,0,0,0,0
ACVRL1,2,2,0,0,0,4,0,1
ACY1,0,0,0,0,0,0,0,0
ACY3,0,0,0,0,1,0,2,0
ACYP1,13,9,10,4,9,6,12,2
ACYP2,6,6,3,3,14,19,35,16
ADA,25,10,73,15,1138,459,909,345
ADA2,36,48,49,23,127,107,316,84
ADAD1,0,0,0,0,0,0,0,0
ADAD2,0,0,0,0,7,4,0,1
ADAL,2,6,5,1,14,5,34,10
ADAM10,869,1122,523,536,2476,4727,2354,2862
ADAM11,2,2,1,0,9,5,14,5
ADAM12,3,0,5,0,15,1,30,2
ADAM15,1,6,3,6,2,13,12,4
ADAM15-EFNA4,0,0,0,1,0,0,0,0
ADAM17,395,409,563,331,4618,3497,4243,3266
ADAM18,0,0,0,0,0,0,0,0
ADAM18_1,0,0,0,0,0,0,0,0
ADAM19,242,193,183,139,482,433,908,500
ADAM2,0,0,0,0,0,0,0,0
ADAM2_1,0,0,0,0,0,0,0,0
ADAM20,1,5,9,4,45,34,50,39
ADAM20P1,1,1,1,1,2,4,15,4
ADAM21,0,1,0,0,0,0,2,0
ADAM21P1,0,0,0,0,0,0,0,0
ADAM22,0,0,3,2,14,5,18,1
ADAM23,1,0,1,0,3,0,6,0
ADAM28,199,81,73,25,700,309,472,158
ADAM29,0,0,0,0,0,0,0,0
ADAM30,0,0,0,0,0,0,0,0
ADAM32,0,0,0,0,0,0,0,0
ADAM32_1,0,0,0,0,0,0,0,0
ADAM33,2,0,0,0,0,0,0,0
ADAM3A,0,0,0,0,0,0,0,0
ADAM3B,0,0,0,0,0,0,1,0
ADAM5,0,0,0,0,0,0,0,0
ADAM5_1,0,0,0,0,0,0,0,0
ADAM6,0,0,0,0,0,0,0,0
ADAM6_1,0,0,0,0,0,0,0,0
ADAM7,0,0,0,1,0,0,0,0
ADAM7-AS1,0,0,0,0,1,1,1,1
ADAM7-AS2,0,0,0,0,0,0,0,0
ADAM8,12512,18268,11392,8066,60998,77797,57484,48570
ADAM9,1191,1814,1197,961,348,1055,588,274
ADAM9_1,0,0,0,0,0,0,0,0
ADAMDEC1,2,0,1,1,108,26,32,4
ADAMTS1,0,0,2,0,3,0,2,1
ADAMTS10,20,11,107,2,154,52,616,21
ADAMTS12,0,1,0,0,1,0,0,1
ADAMTS12_1,0,0,0,0,0,0,0,0
ADAMTS13,0,0,0,0,0,0,0,0
ADAMTS13_1,0,0,0,0,0,0,0,0
ADAMTS14,0,0,0,0,0,1,2,2
ADAMTS15,0,0,0,0,0,0,0,0
ADAMTS16,0,0,0,0,0,0,1,0
ADAMTS16-DT,0,0,0,0,0,0,0,0
ADAMTS17,4,3,8,1,15,1,39,11
ADAMTS18,0,0,0,0,0,0,0,0
ADAMTS19,0,0,0,0,0,0,0,0
ADAMTS19-AS1,0,0,0,0,0,0,0,0
ADAMTS2,0,0,1,0,0,0,1,0
ADAMTS2_1,0,0,0,0,0,0,0,0
ADAMTS20,0,0,0,0,0,0,0,0
ADAMTS3,0,0,0,0,0,0,0,0
ADAMTS4,2,0,0,1,2,1,4,0
ADAMTS5,1,0,0,0,0,0,0,0
ADAMTS6,3,1,4,1,10,7,35,6
ADAMTS7,0,3,2,0,6,11,20,6
ADAMTS7P1,0,0,0,0,2,0,2,0
ADAMTS7P1_1,1,1,0,0,0,0,3,1
ADAMTS8,0,0,0,0,0,0,2,2
ADAMTS9,3,0,0,0,0,0,0,0
ADAMTS9-AS1,0,0,0,0,0,0,0,0
