"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexp"
"MYO15B",1651.9977331325,-0.311661542463237,0.363378082043384,-0.857678428788744,0.391070054506777,0.661430684456574,"insignificant"
"MYO16-AS1",3.02159050635432,-1.20639070061443,0.890663402969871,-1.35448554031948,0.17558152348259,0.40578637143493,"insignificant"
"MYO18A",1814.49214646557,-1.36786807217037,0.264059038598815,-5.18016001053677,2.2169564921135e-07,3.6698298661904e-06,"down"
"MYO1A",2.98765729413345,-0.644341886373201,0.885288329870711,-0.727832802751734,0.466715941761624,0.728658245407767,"insignificant"
"MYO1C",112.879359962312,-0.203203075715681,0.387274862762802,-0.524699884381959,0.599791837703461,0.816720309430478,"insignificant"
"MYO1D",20.1917542618901,0.766031008248904,0.711927573865001,1.0759957000825,0.281929179463159,0.548776728963665,"insignificant"
"MYO1E",18.4941453379813,1.07732194394348,0.488191059187576,2.20676295411127,0.0273306244654876,0.102910162508102,"insignificant"
"MYO1F",46947.4039842741,-0.78577103344461,0.289056347477774,-2.71840089415448,0.00655983041542189,0.0326688243205117,"down"
"MYO1G",1382.71085881414,-0.530978501224373,0.317487629592127,-1.67243839360455,0.0944379065532441,0.265698097325642,"insignificant"
"MYO5A",1005.52323833048,-1.30729660370261,0.282759484396126,-4.62335191512508,3.77588327320353e-06,4.94024429581029e-05,"down"
"MYO5C",9.10659475695747,-1.38512627192415,0.759588809440335,-1.82352116659633,0.0682244942356285,0.209407427204868,"insignificant"
"MYO6",19.5367582781018,0.594564244849286,0.774933153735033,0.767245848217484,0.442935358115373,0.709487288300839,"insignificant"
"MYO7B",455.997604165568,-2.57879912764622,0.619232097279009,-4.1645113988403,3.12020038890796e-05,0.00032653548403999,"down"
"MYO9A",80.6128251695988,-0.105444067306999,0.461137261272542,-0.228660913273454,0.819132476603351,0.931835475473283,"insignificant"
"MYO9B",19229.9450334985,-0.401770094423961,0.256074043958296,-1.56896063425075,0.116657111931415,0.306944491122358,"insignificant"
"MYOF",81.8099447295921,1.14604499274999,0.55514283981583,2.06441461647996,0.0389784218041101,0.136183017064272,"insignificant"
"MYOM1",143.113563964577,-0.0851855824425536,0.389057081208207,-0.218953944182206,0.826685924438599,0.935039687633172,"insignificant"
"MYORG",3.65149658832272,0.398249915655397,0.90432468521571,0.4403837716322,0.659659176604493,0.853320586249849,"insignificant"
"MYOSLID",15.8984962564804,0.353779199527998,0.450980330348709,0.784467028205968,0.432766121516211,0.70008631335628,"insignificant"
"MYOSLID-AS1",25.7377118946148,0.311447534112001,0.408427144057416,0.762553465516529,0.445729745824708,0.71102912385922,"insignificant"
"MYOZ3",3.61346629118439,-0.105212485978682,0.823032043102294,-0.127835224473277,0.898279373646766,0.96402499956709,"insignificant"
"MYPOP",111.406212092302,1.0610607950993,0.295053961234389,3.5961584472896,0.000322951134620934,0.00253229608636235,"up"
"MYRF",9.41194466005775,0.165690916187549,0.60227226973031,0.275109654744262,0.783231994268539,0.915488240616305,"insignificant"
"MYSM1",1680.68780048576,0.357420515586909,0.257856512697987,1.38612173044291,0.165709735964854,0.390405512510366,"insignificant"
"MZB1",8.69867482780902,0.171900525683881,0.772182660142967,0.222616402253909,0.823834069621468,0.93395460355077,"insignificant"
"MZF1",194.475292426838,-0.659964354733437,0.387544648021943,-1.70293760500098,0.0885797456526524,0.254395472531013,"insignificant"
"MZF1-AS1",18.8060326171092,-0.574597859350573,0.414054858816663,-1.38773364716146,0.165218166236174,0.389537963750621,"insignificant"
"MZT1",22.5917630136873,-0.513419235444594,0.365748794344805,-1.40374826488307,0.160393824570141,0.38204212332001,"insignificant"
"MZT2A",34.7896361865899,0.0270377699455872,0.348593213947163,0.0775625252122245,0.938176053089109,0.979613609520181,"insignificant"
"N4BP1",24923.0305458874,2.02595481692857,0.293212719660589,6.90950521953391,4.86346977468078e-12,1.90580433453496e-10,"up"
"N4BP2",62.548372661416,0.0357750740202854,0.474855804795231,0.0753388158237056,0.939945138661342,0.980204798306924,"insignificant"
"N4BP2L1",277.121066171245,0.108604378159075,0.248969151558997,0.436216203810857,0.662679872495864,0.855336374863481,"insignificant"
"N4BP2L2",2477.74497143714,0.269606438587924,0.299811438826957,0.89925334284371,0.368517733106065,0.639789675858301,"insignificant"
"N4BP3",288.21260886344,1.75739928024147,0.379262286543765,4.63373064655792,3.59134214939858e-06,4.72620626860853e-05,"up"
"N6AMT1",16.5967716926127,0.655810716889138,0.750217548522175,0.874160726020064,0.382030730731466,0.654302977685203,"insignificant"
"NAA10",589.549581842276,-0.726864027225107,0.410524914433951,-1.77057226411541,0.0766318575927137,0.227689613378012,"insignificant"
"NAA15",85.1436546841092,0.817902368780392,0.471798118487117,1.7335854822887,0.0829916582003726,0.241452517741393,"insignificant"
"NAA16",129.569963983118,-0.28141022312584,0.386884830952035,-0.727374661946178,0.466996472027857,0.728880044105941,"insignificant"
