Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4,Mock_1,Mock_2,Mock_3,Mock_4,LPS_1,LPS_2,LPS_3,LPS_4
ABCF1-DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF2,16,9,12,8,9,5,25,7,31,26,50,25,31,20,65,24
ABCF2-H2BK1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
ABCF3,331,485,272,183,426,676,355,306,533,887,661,501,383,515,672,317
ABCG1,741,704,914,254,1181,1612,1637,528,1262,1573,2565,878,1198,836,4439,948
ABCG2,1,1,0,0,1,0,2,0,3,0,7,0,2,0,8,0
ABCG4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ABCG5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ABCG8,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
ABHD1,3,1,2,0,0,1,0,3,0,2,2,1,2,2,3,0
ABHD10,25,13,22,8,19,19,34,9,63,54,97,82,40,33,132,42
ABHD11,126,156,82,50,157,296,100,78,76,164,142,93,24,73,89,38
ABHD11-AS1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
ABHD12,120,148,85,76,113,157,146,124,124,63,125,81,62,46,136,33
ABHD12B,10,4,5,6,11,1,3,5,27,18,17,20,9,9,9,9
ABHD13,203,128,108,75,179,150,99,91,769,624,441,502,742,392,679,391
ABHD14A,5,2,3,0,2,1,1,0,2,4,6,1,3,3,21,0
ABHD14A-ACY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD14B,21,15,39,7,12,9,38,11,47,41,102,21,64,51,210,37
ABHD15,32,14,49,18,22,15,47,10,123,56,214,88,109,47,343,62
ABHD16A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ABHD16A_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD16A_2,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
ABHD16A_3,0,0,0,0,0,0,0,0,5,1,8,2,0,0,2,0
ABHD16A_4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
