Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4,Mock_1,Mock_2,Mock_3,Mock_4,LPS_1,LPS_2,LPS_3,LPS_4
MAPK1IP1L,2078,1959,1044,1087,1175,1646,1152,852,875,1050,759,725,2073,1458,1741,1116
MAPK3,491,589,287,179,800,1098,503,325,2030,3246,1679,1873,752,1472,1265,818
MAPK4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
MAPK6,1971,1190,1122,1007,190,189,539,245,292,147,217,137,1929,2418,2099,1137
MAPK6-DT,3,1,4,3,0,0,0,0,1,0,0,0,9,5,7,1
MAPK7,385,554,283,244,353,542,388,308,93,124,106,70,82,125,164,67
MAPK8,509,388,297,281,311,324,351,233,871,634,842,797,629,445,964,488
MAPK8IP1,2,2,5,2,2,3,5,2,3,5,8,1,1,11,8,1
MAPK8IP1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK8IP1P2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK8IP1P2_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK8IP2,14,42,20,3,29,99,51,33,8,22,13,19,5,10,12,9
MAPK8IP3,769,854,752,516,755,901,1094,513,2392,2146,3297,1810,1309,1653,3228,1257
MAPK8IP3-AS1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
MAPK9,334,298,187,168,261,253,203,157,284,159,318,162,446,230,592,279
MAPKAP1,257,218,129,109,116,116,147,61,543,403,481,272,619,846,1043,467
MAPKAPK2,8767,10495,4993,4796,5097,7270,5099,3507,5999,9811,4988,6080,11087,13797,11743,7880
MAPKAPK3,533,732,372,301,1258,1520,883,774,2593,3440,2564,2164,411,896,1157,476
MAPKAPK5,56,67,81,37,41,62,75,23,156,111,232,121,121,95,321,78
MAPKAPK5-AS1,33,16,24,17,23,30,28,11,81,79,137,76,53,55,142,55
MAPKBP1,205,211,143,87,210,286,269,219,219,263,244,169,190,178,342,121
MAPRE1,5406,5176,3176,1800,3130,4724,3656,1998,2101,4433,2347,1316,4548,5052,4863,1288
MAPRE2,183,219,147,107,255,433,265,179,1067,1726,1107,932,263,1055,732,480
MAPRE3,22,36,11,6,10,51,15,3,93,209,123,35,54,161,99,22
MAPRE3-AS1,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,1
MAPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPT_1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0
MAPT_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPT-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPT-AS1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPT-AS1_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPT-IT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPT-IT1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPT-IT1_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARCHF1,11,5,9,4,14,8,14,4,83,35,86,56,39,12,101,35
MARCHF10,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
MARCHF10-DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARCHF11,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
MARCHF11-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARCHF11-DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARCHF2,115,294,106,40,131,320,166,66,338,732,397,253,104,499,330,149
MARCHF3,1536,1258,825,825,423,484,600,335,284,161,298,127,1853,555,1373,746
MARCHF4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
MARCHF5,554,469,281,292,322,398,296,210,628,585,430,503,518,394,582,482
MARCHF6,2044,1525,1218,1005,1195,1286,1331,749,4337,3207,4128,3334,5829,4064,7065,3685
MARCHF6-DT,1,3,1,2,0,1,1,0,0,4,6,3,2,2,3,0
MARCHF7,1797,1274,774,779,1095,1025,844,607,4916,3271,3469,4092,4015,3682,5270,3652
MARCHF8,56,41,19,27,54,42,48,39,234,137,186,213,58,86,141,76
MARCHF8_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARCHF9,22,39,77,13,23,25,64,13,63,38,151,28,89,46,275,53
MARCKS,30236,20869,9844,10583,2248,1798,4983,1643,10837,5398,5905,4925,152166,88622,94224,75496
MARCKSL1,11613,13981,8106,5617,5665,9781,8897,3487,11399,25237,14588,8917,17196,21471,32040,12402
MARCO,4,5,1,1,2,3,0,1,9,15,15,1,11,13,15,2
MARCOL,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
MARF1,0,1,1,0,0,0,1,1,2,6,3,2,65,3,8,4
MARF1_1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,7,2
MARK1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0
MARK2,1199,1051,668,611,892,1079,793,561,4702,5266,4266,4208,3312,3975,4978,3151
MARK2P9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
MARK3,1021,837,496,552,454,558,398,328,1872,1954,1426,1701,4240,3254,3358,2904
MARK4,250,150,44,67,191,120,54,71,792,368,171,342,833,646,215,440
MARS1,1150,942,681,509,664,756,710,391,2853,3321,2544,2707,3139,2921,4279,2443
MARS2,15,6,15,4,10,3,15,1,20,7,34,8,16,8,78,9
MARVELD1,8,6,1,2,0,4,6,0,12,13,11,1,3,4,5,0
MARVELD2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARVELD2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MARVELD2_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARVELD3,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0
MAS1,5,5,3,7,0,0,2,0,0,1,0,0,5,14,6,2
MAS1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS1L_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS1L_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS1L_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS1L_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS1L_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS1L_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS1L_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASCRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASP1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASP2,43,18,13,16,20,13,22,6,86,48,90,64,91,56,115,48
MAST1,2,0,0,0,0,0,3,0,0,1,5,2,1,1,2,1
MAST2,222,180,125,81,119,155,132,87,124,170,147,69,117,65,257,55
MAST3,4563,3625,2140,2543,2947,2973,2289,2441,16241,15958,12990,13478,9953,15338,15226,11320
MAST4,30,26,40,17,17,31,50,13,57,17,121,27,50,49,226,29
MAST4-AS1,1,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0
MASTL,214,160,139,131,110,68,150,69,112,119,185,109,436,365,655,321
MAT1A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MAT2A,2515,2787,1783,1752,6548,7356,4012,5444,829,802,1016,643,374,309,821,182
MAT2B,1492,1114,891,665,739,702,794,396,3008,2459,2196,3036,2963,1942,3157,2780
MATCAP1,14,3,17,5,9,9,24,6,25,35,58,28,31,19,57,16
MATCAP2,9,14,4,7,4,4,11,3,12,3,14,9,6,3,11,2
MATK,21,11,90,17,11,11,86,18,49,30,270,56,59,35,428,56
MATN1,1,3,1,2,0,1,1,0,2,6,18,11,0,5,22,3
MATN1-AS1,7,2,14,5,3,5,8,2,7,3,15,4,7,2,35,4
MATN2,3,1,0,2,2,2,0,0,5,0,7,1,2,1,5,1
MATN3,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0
MATN4,1,1,0,2,0,0,0,0,0,0,2,0,3,6,5,1
MATR3,1517,1365,919,811,1013,1168,1032,722,2098,1628,1845,1691,1622,1811,3114,1460
MAU2,887,1047,524,508,891,1122,695,533,3740,4604,3241,3283,1781,2831,3488,2074
MAVS,266,153,239,102,336,250,338,146,1170,675,1340,847,649,331,1366,402
MAX,480,424,325,223,549,553,376,296,3336,3474,2648,3371,1575,1675,2466,1470
MAZ,557,751,440,291,558,752,584,395,881,1067,1155,1007,409,819,1271,409
MB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB21D2,13,3,3,3,4,1,4,0,8,1,9,0,14,4,22,5
MBD1,1093,854,660,433,593,659,790,312,2040,1722,1825,1588,2583,2045,3233,1631
MBD2,838,748,489,405,530,705,421,330,1498,1800,1287,1278,1323,1503,1921,1034
MBD3,120,109,112,47,76,94,137,52,152,107,219,104,163,100,380,107
MBD3L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBD3L1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBD3L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBD3L2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBD3L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBD3L4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBD3L5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBD4,853,630,362,371,1062,1023,493,452,3938,3381,2262,2733,1247,1442,1908,1062
MBD5,80,51,45,29,61,57,42,35,269,173,156,159,207,173,253,149
MBD6,2901,2790,1870,1542,1626,1973,1890,1063,5460,6194,5425,4514,6232,7363,8843,5686
MBIP,6,7,3,3,8,2,10,6,18,15,26,16,18,7,55,6
MBL1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBLAC1,1,5,3,0,1,3,5,3,2,2,3,3,2,1,6,1
MBLAC2,4,1,8,0,2,0,10,1,8,2,17,2,12,4,23,3
MBNL1,987,728,547,397,1601,1051,919,667,5393,2600,4029,3468,5037,2625,4682,2915
MBNL1-AS1,42,67,31,45,48,86,44,69,31,17,32,30,23,31,50,34
MBNL2,51,15,38,16,32,13,42,12,95,22,136,47,129,21,241,58
MBNL3,26,6,26,1,16,6,37,7,51,14,110,30,60,28,194,38
MBOAT1,269,290,148,171,330,438,174,211,1083,1437,571,1104,651,838,818,665
MBOAT2,649,710,248,260,846,870,472,438,1574,901,871,1301,455,640,546,419
MBOAT4,1,2,1,0,2,3,4,4,18,30,28,20,8,6,14,1
MBOAT7,0,66,0,0,0,72,0,0,2,177,1,1,0,122,4,1
MBOAT7_1,0,1,0,0,2,1,2,0,0,1,1,0,0,1,2,1
MBOAT7_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBOAT7_3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBOAT7_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBOAT7_5,0,1,0,0,0,1,0,1,0,0,2,0,0,1,0,0
MBOAT7_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBOAT7_7,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
MBOAT7_8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MBOAT7_9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
MBP,2789,3408,1613,1715,2193,2879,1880,1990,9498,11248,8765,11016,2625,11056,7953,6051
MBTD1,154,122,103,72,128,117,157,89,675,452,636,534,216,338,547,259
MBTPS1,585,257,256,139,220,126,300,91,619,326,700,345,1811,559,1387,384
MBTPS1-DT,0,0,2,1,1,2,0,0,1,0,0,0,9,2,2,4
MBTPS2,7,7,9,3,5,8,5,11,21,6,31,7,26,6,45,7
MC1R,6,9,11,4,0,6,8,1,19,17,34,7,14,24,51,9
MC2R,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MC3R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC4R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC5R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCAM,34,30,13,7,88,108,56,53,34,14,45,15,28,13,53,14
MCAT,26,54,21,22,51,97,29,29,77,312,76,106,29,87,75,34
MCC,59,43,33,39,28,31,34,26,288,170,302,342,352,204,543,340
MCCC1,22,10,27,12,12,11,33,8,56,36,87,40,30,60,117,40
MCCC2,34,16,47,15,10,7,33,6,50,32,102,27,92,62,207,59
MCCC2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCCC2_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCCC2_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCCD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCCD1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCCD1_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCCD1_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCCD1_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCCD1_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCCD1_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCCD1_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCEE,5,9,5,6,5,5,12,1,13,13,38,9,10,14,43,10
MCEMP1,3295,1528,1159,1202,1696,1001,1373,745,2705,2612,2487,1031,4134,1921,4188,1306
MCF2,8,10,3,1,3,5,2,0,16,13,6,2,21,28,21,9
MCF2L,3,6,20,0,5,2,18,0,13,6,48,5,20,6,51,7
MCF2L2,72,67,39,29,29,28,53,21,50,71,42,25,143,162,212,102
MCF2L-AS1,1,0,1,0,0,1,0,0,0,0,1,0,2,0,6,0
MCFD2,366,349,184,176,248,323,205,163,381,223,331,301,202,210,425,220
MCHR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCHR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCHR2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCIDAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCL1,17075,16310,7752,7563,12230,15307,8741,6766,36120,42318,26364,31393,43723,33715,44758,27880
MCM10,10,2,4,12,0,0,6,2,0,0,0,1,1,0,0,1
MCM2,2619,3592,1718,1382,1205,1829,1512,828,55,125,86,25,112,486,300,71
MCM3,1850,1977,892,730,852,1188,808,507,119,51,221,76,128,58,418,79
MCM3AP,418,320,299,224,261,256,350,149,1083,731,1222,706,1267,995,2101,979
MCM3AP-AS1,25,13,18,5,9,7,16,7,53,31,51,41,69,50,98,50
MCM4,4327,4422,2329,2342,3699,4483,2679,2423,40,44,69,23,28,13,77,7
MCM5,2417,2549,1518,1301,2105,2312,1837,1203,1063,1168,881,748,235,422,595,201
MCM6,2128,2855,1304,1203,1522,2302,1520,1100,138,64,217,97,133,247,443,112
MCM7,5383,4938,3095,2211,3071,3058,3300,1663,949,873,1068,899,698,845,1588,698
MCM8,83,38,60,50,56,51,57,42,39,16,77,27,35,20,113,19
MCM8-AS1,3,1,0,1,0,1,1,0,0,0,1,2,2,0,5,1
MCM9,316,319,128,130,238,297,159,120,394,256,326,304,205,212,332,179
MCMBP,1720,1415,824,748,1091,1310,1026,722,1984,1459,1368,1444,2419,1527,2876,1549
MCMDC2,1,3,0,0,1,0,1,0,1,1,5,2,1,0,4,0
MCOLN1,1993,2013,1415,1191,1512,2181,1726,1381,1251,2183,1268,1071,1213,2415,2120,1385
MCOLN2,20,35,18,14,7,4,15,8,22,6,25,17,53,40,126,49
MCOLN3,2,1,2,0,3,0,3,1,1,1,2,1,0,4,1,2
MCPH1,1,1,0,0,0,0,1,0,0,0,1,0,2,0,0,1
MCPH1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCPH1_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCPH1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCPH1-AS1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCPH1-DT,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
MCPH1-DT_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCRIP1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MCRIP1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCRIP2,95,41,84,77,7,1,18,4,22,7,24,13,119,123,176,135
MCRS1,222,200,172,110,154,189,163,94,553,703,628,582,642,653,1035,560
MCTP1,1999,1622,814,1040,198,325,226,177,943,1013,722,792,9149,7289,8188,7587
MCTP2,1110,1189,510,552,935,933,713,580,3083,1834,2101,2329,2084,2734,2866,1989
MCTS1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MCTS1_1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0
MCTS2,6,4,7,2,4,3,2,0,6,10,11,1,11,8,25,4
MCU,151,99,97,65,129,101,87,70,465,255,327,301,287,161,327,190
MCUB,24,17,44,15,26,12,35,3,110,54,147,50,86,36,290,54
MCUR1,51,46,29,25,39,48,39,40,25,9,33,7,30,11,50,10
MDC1,1,0,1,0,1,0,2,0,0,0,1,1,1,0,0,0
MDC1_1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
MDC1_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC1_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MDC1_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC1_5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC1_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC1_7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MDC1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC1-AS1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC1-AS1_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC1-AS1_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC1-AS1_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC1-AS1_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC1-AS1_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC1-AS1_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDFI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDFIC,132,74,63,35,26,8,46,11,75,27,101,23,187,99,223,52
MDFIC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDGA1,26,3,29,8,25,6,36,4,65,7,83,31,98,10,160,28
MDGA2,1,0,0,0,0,0,0,0,1,0,0,1,4,0,0,4
MDH1,112,86,90,36,63,60,85,38,117,70,188,79,96,49,361,76
MDH1B,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MDH2,128,136,100,83,98,167,124,73,286,431,451,284,177,307,531,216
MDK,5,8,1,2,2,5,5,2,2,11,9,11,6,14,1,10
MDM1,356,300,101,151,112,100,97,51,369,161,327,210,1714,1123,1644,1415
MDM2,2352,1566,801,971,639,509,544,378,5345,2753,2379,3777,10522,8097,8539,8733
MDM4,676,492,419,441,338,385,369,271,1936,1452,1586,1558,2039,2044,2725,1556
MDN1,206,60,161,53,112,73,235,58,353,92,560,179,348,99,912,160
MDN1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDN1-AS1,1,0,2,1,3,1,4,0,3,0,5,2,0,0,4,3
MDP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDP1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDS2,0,0,2,0,3,2,1,0,5,5,2,1,3,4,9,0
ME1,6,1,1,0,2,0,4,0,13,1,9,0,17,2,27,0
ME2,126,140,124,79,254,364,156,167,1627,1976,1647,2061,401,567,736,482
ME3,1,1,8,2,0,1,4,1,3,8,24,2,3,3,27,1
MEA1,128,132,91,90,90,147,100,83,181,172,176,153,100,179,243,117
MEAF6,158,216,106,81,148,194,120,86,380,373,408,213,230,357,440,134
MEAK7,38,34,14,13,28,38,20,20,59,96,75,29,85,82,87,22
MEAT6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MECOM,2,1,0,0,0,1,0,0,3,2,0,0,0,1,1,1
MECOM-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MECP2,1765,1449,1203,987,915,985,1108,792,3502,3474,3317,2803,2983,3687,5068,2749
MECR,9,3,7,1,2,1,3,2,7,4,8,2,8,11,23,5
MED1,636,319,344,281,225,201,364,187,966,554,842,752,1666,931,2123,1339
MED10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED10_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED11,239,440,188,194,189,321,205,151,397,646,439,452,198,549,557,428
MED12,2393,1254,1367,875,730,540,1211,408,4252,2210,3634,2377,9593,4850,11347,5516
MED12L,6,7,7,9,4,6,2,8,21,20,16,35,12,20,23,35
MED13,2945,1681,1425,1273,957,837,1206,611,4859,2106,3179,2935,7449,3981,8141,4940
MED13L,4739,2958,2022,2006,2928,2119,2415,1598,13358,6561,8623,8541,12670,8300,11455,8247
MED14,550,483,290,236,677,666,537,358,2386,1916,2391,1625,825,923,1787,701
MED14OS,10,9,10,6,10,9,7,3,21,21,14,16,31,30,31,16
MED15,2152,2389,1626,1198,1193,1670,1525,810,3177,4128,3410,2698,5324,5906,7510,3788
MED15P9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED15P9_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED16,431,524,293,188,244,299,290,113,407,384,447,268,681,655,931,515
MED16_1,1,17,0,31,0,11,0,18,3,11,0,42,2,19,0,85
MED17,193,152,89,66,142,169,115,106,685,574,552,470,413,538,746,416
MED18,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1
MED18_1,0,0,1,0,1,0,0,0,1,23,0,3,1,17,0,0
MED19,73,75,58,32,63,94,91,39,134,208,138,108,147,243,300,137
MED20,200,152,102,102,87,138,83,73,92,161,127,103,302,256,419,259
MED21,171,87,90,57,167,117,122,84,618,286,382,339,386,200,473,280
MED22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED22_1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MED23,204,138,141,95,152,147,159,75,907,568,875,688,566,538,1141,647
MED24,72,25,96,47,46,24,92,24,105,48,233,74,152,43,394,75
MED25,254,398,193,185,455,660,327,283,1983,2673,1747,2050,517,1267,1233,878
MED26,271,271,145,142,137,174,164,90,246,326,273,226,292,404,508,300
MED27,24,29,11,11,14,5,21,5,34,27,46,24,63,26,69,27
MED28,1160,741,627,501,463,480,585,358,1838,1334,1602,1294,1986,2025,3048,1577
MED28-DT,6,2,3,10,3,1,7,3,26,1,6,12,46,5,34,24
MED29,337,686,307,222,271,530,345,203,513,845,658,576,483,822,975,405
MED30,185,124,81,71,131,141,100,80,353,356,285,271,572,272,397,274
MED31,40,49,25,10,29,34,37,13,96,114,72,89,76,110,115,73
MED4,389,305,207,193,236,275,200,143,446,416,322,316,530,512,715,436
MED4-AS1,0,1,0,2,1,0,3,0,0,0,0,1,2,0,0,1
MED6,191,131,87,70,69,82,59,53,254,222,202,261,387,323,414,366
MED7,117,89,74,56,76,84,60,39,146,95,124,115,156,130,261,130
MED8,165,183,77,78,102,156,86,71,333,499,327,387,340,545,575,396
MED8-AS1,7,1,3,3,4,1,4,2,18,17,8,12,15,19,13,9
MED9,144,173,120,98,76,150,114,76,33,42,50,49,49,46,146,65
MEDAG,4,1,1,1,1,1,0,0,2,14,8,4,6,3,11,1
MEF2A,351,278,154,134,256,192,153,98,925,394,416,376,538,468,565,336
MEF2B,1,0,1,0,0,1,1,0,0,4,3,3,1,2,1,2
MEF2C,51,86,40,32,202,440,69,101,1756,2664,1090,1302,246,454,353,286
MEF2C-AS1,10,8,2,8,10,11,2,7,53,40,39,41,10,38,40,25
MEF2C-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEF2D,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MEF2D_1,0,0,1,1,0,5,2,0,0,3,4,6,54,12,1,2
MEFV,3073,2820,2550,2169,1987,2544,2492,1586,12350,13387,10105,10728,14402,9939,17062,10058
MEG3,1,3,3,1,1,1,0,0,7,7,1,3,3,3,7,0
MEG8,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
MEG9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MEGF10,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
MEGF11,4,8,1,3,1,2,3,0,14,14,14,4,26,28,35,19
MEGF11_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGF6,285,207,179,106,277,237,295,136,915,715,892,632,514,454,957,332
MEGF8,19,10,29,17,8,4,35,3,28,13,80,15,44,18,137,36
MEGF9,777,470,245,301,767,711,249,312,4764,3526,3113,4185,5170,2744,5038,4445
MEI1,226,148,78,59,66,49,85,19,234,175,188,62,663,474,602,207
MEI4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEIG1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
MEIKIN,0,1,0,2,0,1,0,0,4,6,2,3,3,4,5,4
MEIOB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEIOC,5,6,2,1,0,0,4,1,1,1,2,4,2,5,7,2
MEIOSIN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MEIS1,7,3,2,1,3,7,0,0,15,2,3,4,11,6,3,3
MEIS1-AS2,1,1,0,0,1,0,0,0,0,1,0,0,3,0,0,0
MEIS1-AS3,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1
MEIS2,1,3,1,2,1,0,0,1,4,2,1,3,3,1,4,2
MEIS3,2,1,0,2,0,0,1,1,0,1,0,1,0,0,1,0
MEIS3P1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MELK,1,1,0,0,0,1,1,0,1,0,1,1,1,0,4,1
MELTF,290,773,226,268,46,219,93,62,105,370,114,69,590,1936,1092,881
MELTF-AS1,14,43,12,14,5,12,3,7,6,16,3,3,29,53,35,38
MEMO1,32,14,16,13,35,31,20,24,136,79,106,129,57,58,111,40
MEN1,48,11,73,24,25,13,65,7,101,47,229,62,120,83,387,85
MEOX1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,2,0
MEOX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEP1A,1,1,0,0,0,0,0,0,1,0,0,0,2,3,5,2
MEP1B,0,0,1,0,0,0,0,0,2,1,0,3,0,0,0,0
MEPCE,952,1172,815,591,932,1384,1120,788,1228,2410,1731,1250,1681,2698,3106,1395
MEPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERTK,2,4,4,0,6,6,4,2,21,95,42,10,5,2,17,9
MESD,135,178,101,71,126,203,114,99,171,157,234,156,141,87,337,81
